,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime,cityName,cityEnglishName,city_zipCode,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
0,亚洲,Asia,中国,China,香港,Hong Kong,810000,5430,176.0,5170,108,2020/11/12 19:47,,,,,,,
1,亚洲,Asia,中国,China,台湾,Taiwan,710000,589,431.0,532,7,2020/11/12 19:47,,,,,,,
43,亚洲,Asia,中国,China,陕西省,Shaanxi,610000,482,1.0,434,3,2020/11/12 10:34,境外输入,,0.0,237.0,0.0,192.0,0.0
775,亚洲,Asia,中国,China,福建省,Fujian,350000,460,3.0,420,1,2020/11/12 9:47,境外输入人员,,0.0,164.0,1.0,125.0,0.0
825,亚洲,Asia,中国,China,河南省,Henan,410000,1286,0.0,1259,22,2020/11/12 9:24,境外输入,,0.0,13.0,0.0,8.0,0.0
844,亚洲,Asia,中国,China,新疆维吾尔自治区,Xinjiang,650000,980,0.0,936,3,2020/11/12 9:10,喀什地区,,653100.0,80.0,0.0,39.0,0.0
858,亚洲,Asia,中国,China,广东省,Guangdong,440000,1956,14.0,1918,8,2020/11/12 9:10,广州,Guangzhou,440100.0,845.0,9.0,814.0,1.0
878,亚洲,Asia,中国,China,四川省,Sichuan,510000,782,14.0,731,3,2020/11/12 9:00,成都,Chengdu,510100.0,385.0,13.0,334.0,3.0
899,亚洲,Asia,中国,China,山东省,Shandong,370000,848,14.0,841,7,2020/11/12 9:00,济宁,Jining,370800.0,260.0,0.0,260.0,0.0
915,亚洲,Asia,中国,China,天津市,Tianjin,120000,285,50.0,265,3,2020/11/12 8:59,境外输入,,0.0,146.0,0.0,131.0,0.0
931,亚洲,Asia,中国,China,上海市,Shanghai,310000,1268,393.0,1157,7,2020/11/12 8:41,境外输入,,0.0,925.0,4.0,822.0,0.0
950,亚洲,Asia,中国,China,内蒙古自治区,Neimenggu,150000,306,34.0,274,1,2020/11/12 8:41,境外输入人员,,0.0,229.0,34.0,198.0,0.0
962,亚洲,Asia,中国,China,黑龙江省,Heilongjiang,230000,949,394.0,936,13,2020/11/12 8:41,境外输入,,0.0,388.0,386.0,388.0,0.0
1832,亚洲,Asia,中国,China,江苏省,Jiangsu,320000,676,3.0,666,0,2020/11/11 10:12,境外输入,,0.0,45.0,0.0,35.0,0.0
2524,亚洲,Asia,中国,China,北京市,Beijing,110000,947,164.0,931,9,2020/11/11 8:36,丰台区,Fengtai District,110106.0,273.0,0.0,7.0,0.0
2542,亚洲,Asia,中国,China,辽宁省,Liaoning,210000,286,0.0,280,2,2020/11/11 8:36,境外输入,,0.0,62.0,0.0,58.0,0.0
2557,亚洲,Asia,中国,China,云南省,Yunnan,530000,214,0.0,209,2,2020/11/11 8:36,境外输入,,0.0,40.0,0.0,37.0,0.0
2810,亚洲,Asia,中国,China,安徽省,Anhui,340000,992,0.0,985,6,2020/11/10 18:32,阜阳,Fuyang,341200.0,156.0,0.0,155.0,0.0
2841,亚洲,Asia,中国,China,重庆市,Chongqing,500000,589,1.0,582,6,2020/11/10 10:38,境外输入,,0.0,13.0,0.0,12.0,0.0
3253,亚洲,Asia,中国,China,浙江省,Zhejiang,330000,1291,3.0,1279,1,2020/11/10 9:30,境外输入,,0.0,72.0,2.0,61.0,0.0
4310,亚洲,Asia,中国,China,山西省,Shanxi,140000,218,64.0,213,0,2020/11/9 8:13,境外输入,,0.0,84.0,64.0,79.0,0.0
5399,亚洲,Asia,中国,China,湖北省,Hubei,420000,68147,0.0,63627,4512,2020/11/8 9:40,武汉,Wuhan,420100.0,50352.0,0.0,46475.0,3869.0
5416,亚洲,Asia,中国,China,河北省,Hebei,130000,373,0.0,361,6,2020/11/8 9:40,境外输入,,0.0,34.0,0.0,28.0,0.0
6066,亚洲,Asia,中国,China,甘肃省,Gansu,620000,180,0.0,176,2,2020/11/7 10:37,境外输入,,0.0,88.0,0.0,86.0,0.0
11672,亚洲,Asia,中国,China,湖南省,Hunan,430000,1020,0.0,1015,4,2020/10/31 9:53,境外输入,,0.0,2.0,0.0,1.0,0.0
24010,亚洲,Asia,中国,China,广西壮族自治区,Guangxi,450000,260,0.0,258,2,2020/10/18 10:19,南宁,Nanning,450100.0,55.0,0.0,55.0,0.0
86733,亚洲,Asia,中国,China,江西省,Jiangxi,360000,935,0.0,931,1,2020/8/19 18:25,境外输入,,0.0,5.0,0.0,2.0,0.0
91352,亚洲,Asia,中国,China,吉林省,Jilin,220000,157,19.0,155,2,2020/8/16 8:26,吉林市,Jilin,220200.0,60.0,12.0,59.0,1.0
124374,亚洲,Asia,中国,China,澳门,Macau,820000,46,9.0,46,0,2020/7/19 14:33,,,,,,,
143169,亚洲,Asia,中国,China,海南省,Hainan,460000,171,0.0,165,6,2020/6/26 11:00,三亚,Sanya,460200.0,57.0,0.0,56.0,1.0
214694,亚洲,Asia,中国,China,贵州省,Guizhou,520000,147,0.0,145,2,2020/4/19 8:51,贵阳,Guiyang,520100.0,36.0,0.0,35.0,1.0
277538,亚洲,Asia,中国,China,宁夏回族自治区,Ningxia,640000,75,0.0,75,0,2020/3/16 16:47,银川,Yinchuan,640100.0,36.0,0.0,36.0,0.0
302927,亚洲,Asia,中国,China,青海省,Qinghai,630000,18,0.0,18,0,2020/2/23 19:19,西宁,Xining,630100.0,15.0,0.0,15.0,0.0
302929,亚洲,Asia,中国,China,西藏自治区,Xizang,540000,1,0.0,1,0,2020/2/23 19:19,拉萨,Lhasa,540100.0,1.0,0.0,1.0,0.0
