总计,37310.77,6.1,30558.3,4.3,1870.81,6.6
在总计中:1.国有企业,2049.15,6.0,1273.5,3.7,83.63,8.2
2.集体企业,102.42,-11.0,90.45,-12.3,3.09,-0.3
3.股份合作制企业,18.75,-6.4,15.92,-7.9,1.07,-3.6
4.股份制企业,30887.56,5.9,25610.37,4.0,1568.34,9.6
5.外商及港澳台投资企业,3305.19,10.2,2797.26,10.2,159.65,-16.5
6.其它企业,947.71,1.5,770.8,-1.3,55.03,7.4
在总计中:亏损企业,2725.63,-12.9,2606.15,-10.8,-197.91,
在总计中:国有控股企业,7694.14,-1.3,5893.35,-3.1,403.89,-1.0
其中:亏损企业,1396.57,-10.0,1347.38,-9.1,-71.33,
其中:中央企业,1096.11,3.6,1062.21,3.4,-15.86,
在总计中:大中型工业,18415.06,4.7,14652.93,3.3,1016.78,3.7
其中：国有控股企业,6790.52,-2.4,5160.42,-4.2,353.8,-2.2
其中：亏损企业,1258.6,-11.1,1220.03,-10.5,-56.34,
