品名,最低价,平均价,最高价,产地,单位,发布日期
鸡毛菜,5.0,6.0,5.5,,斤,2021-10-25 00:00:00
荆芥,5.5,6.5,6.0,,斤,2021-10-25 00:00:00
豌豆苗,4.5,5.0,4.75,,斤,2021-10-25 00:00:00
快菜,3.5,4.0,3.75,,斤,2021-10-25 00:00:00
苦菊,4.5,5.5,5.0,,斤,2021-10-25 00:00:00
穿心莲,6.0,7.0,6.5,,斤,2021-10-25 00:00:00
木耳菜,6.5,7.0,6.75,,斤,2021-10-25 00:00:00
菠萝,2.8,3.0,2.9,,斤,2021-10-25 00:00:00
圣女果,5.0,6.0,5.5,,斤,2021-10-25 00:00:00
百香果,7.0,8.0,7.5,,斤,2021-10-25 00:00:00
桑葚,12.0,14.0,13.0,,斤,2021-10-25 00:00:00
冬枣,2.0,6.0,4.0,,斤,2021-10-25 00:00:00
黑枣,7.0,9.0,8.0,,斤,2021-10-25 00:00:00
人参果,3.5,5.0,4.25,,斤,2021-10-25 00:00:00
火龙果,2.0,6.5,4.25,,斤,2021-10-25 00:00:00
火龙果,3.5,5.0,4.25,,斤,2021-10-25 00:00:00
板栗,2.5,3.0,2.75,,斤,2021-10-25 00:00:00
油栗,4.0,8.0,6.0,,斤,2021-10-25 00:00:00
木瓜,4.0,4.5,4.25,,斤,2021-10-25 00:00:00
蜜柿,2.6,3.5,3.05,,斤,2021-10-25 00:00:00
雪里蕻,1.2,1.5,1.35,冀,斤,2021-10-25 00:00:00
散菜花,5.0,5.8,5.4,冀甘陕,斤,2021-10-25 00:00:00
绿菜花,5.0,7.0,6.0,冀甘,斤,2021-10-25 00:00:00
绿豆芽,0.95,1.0,0.98,,斤,2021-10-25 00:00:00
黄豆芽,0.85,0.9,0.88,,斤,2021-10-25 00:00:00
番茄,1.3,2.8,2.05,蒙,斤,2021-10-25 00:00:00
番茄,2.5,3.3,2.9,鲁蒙冀,斤,2021-10-25 00:00:00
黄瓜,2.5,4.3,3.4,蒙辽,斤,2021-10-25 00:00:00
黄瓜,4.5,6.0,5.25,冀鲁,斤,2021-10-25 00:00:00
小黄瓜,4.5,6.0,5.25,辽,斤,2021-10-25 00:00:00
茄子,3.0,4.0,3.5,冀京,斤,2021-10-25 00:00:00
长茄,1.6,3.3,2.45,冀晋辽,斤,2021-10-25 00:00:00
广茄,4.0,5.0,4.5,冀京,斤,2021-10-25 00:00:00
线茄,2.0,6.0,4.0,冀鲁,斤,2021-10-25 00:00:00
冬瓜,1.3,1.5,1.4,冀豫,斤,2021-10-25 00:00:00
