prodCat,prodPcat,prodName,lowPrice,avgPrice,highPrice,place,unitInfo,pubDate
蔬菜,,菜花,3.0,3.2,3.1,冀,斤,2021-12-07 00:00:00
蔬菜,,散菜花,4.0,5.0,4.5,冀甘陕,斤,2021-12-07 00:00:00
蔬菜,,绿菜花,3.0,4.0,3.5,冀甘,斤,2021-12-07 00:00:00
蔬菜,,绿豆芽,0.95,1.0,0.98,,斤,2021-12-07 00:00:00
蔬菜,,黄豆芽,0.85,0.9,0.88,,斤,2021-12-07 00:00:00
蔬菜,,番茄,1.5,2.8,2.15,蒙,斤,2021-12-07 00:00:00
蔬菜,,番茄,2.7,3.4,3.05,鲁蒙冀,斤,2021-12-07 00:00:00
蔬菜,,黄瓜,1.7,3.2,2.45,蒙辽,斤,2021-12-07 00:00:00
蔬菜,,黄瓜,3.3,3.6,3.45,冀鲁,斤,2021-12-07 00:00:00
蔬菜,,小黄瓜,5.0,5.4,5.2,辽,斤,2021-12-07 00:00:00
蔬菜,,茄子,1.8,2.8,2.3,冀京,斤,2021-12-07 00:00:00
蔬菜,,长茄,1.5,2.0,1.75,冀晋辽,斤,2021-12-07 00:00:00
蔬菜,,广茄,1.6,2.4,2.0,冀京,斤,2021-12-07 00:00:00
蔬菜,,线茄,2.0,4.5,3.25,冀鲁,斤,2021-12-07 00:00:00
蔬菜,,冬瓜,1.4,1.6,1.5,辽桂,斤,2021-12-07 00:00:00
蔬菜,,冬瓜,0.9,1.0,0.95,苏,斤,2021-12-07 00:00:00
蔬菜,,毛冬瓜,1.4,1.8,1.6,冀豫,斤,2021-12-07 00:00:00
蔬菜,,架豆,3.6,4.5,4.05,冀,斤,2021-12-07 00:00:00
蔬菜,,豆王,3.2,4.1,3.65,云冀,斤,2021-12-07 00:00:00
蔬菜,,扁豆,3.2,4.1,3.65,冀,斤,2021-12-07 00:00:00
蔬菜,,豇豆,4.0,7.5,5.75,桂云,斤,2021-12-07 00:00:00
蔬菜,,白不老,3.5,5.0,4.25,辽冀,斤,2021-12-07 00:00:00
蔬菜,,油豆,3.4,4.0,3.7,辽冀,斤,2021-12-07 00:00:00
蔬菜,,毛豆,4.0,4.3,4.15,云桂闽川,斤,2021-12-07 00:00:00
蔬菜,,玉米,2.3,2.6,2.45,鄂桂闽,斤,2021-12-07 00:00:00
蔬菜,,花生,5.0,6.0,5.5,苏冀皖,斤,2021-12-07 00:00:00
蔬菜,,苦瓜,3.0,4.0,3.5,冀鲁,斤,2021-12-07 00:00:00
蔬菜,,丝瓜,3.5,4.5,4.0,冀豫鲁,斤,2021-12-07 00:00:00
蔬菜,,西葫芦,1.3,2.0,1.65,云鲁,斤,2021-12-07 00:00:00
蔬菜,,佛手瓜,3.0,3.5,3.25,冀,斤,2021-12-07 00:00:00
蔬菜,,贝贝南瓜,2.5,3.5,3.0,蒙,斤,2021-12-07 00:00:00
蔬菜,,金丝南瓜,1.4,2.5,1.95,蒙,斤,2021-12-07 00:00:00
蔬菜,,板栗南瓜,1.5,2.0,1.75,新蒙,斤,2021-12-07 00:00:00
蔬菜,,南北瓜,0.7,0.9,0.8,川鄂皖浙,斤,2021-12-07 00:00:00
